ticker,source,freq,name_eng,name_rus,observation_start,use_archive,name_rus_short,transform,deseason
li_mining_1,rosstat,m,,Добыча полезных ископаемых: индекс предпринимательской уверенности,2006-01-01,FALSE,,no,diff
import_real,rosstat,q,,Импорт в постоянных ценах,1995-01-01,TRUE,,no,logdiff
import_nom,rosstat,q,,Импорт в текущих ценах,1995-01-01,TRUE,,no,logdiff
investment_nom,rosstat1,q,,"Инвестиции в основной капитал (млрд руб, в текущих ценах)",1993-01-01,TRUE,,no,logdiff
invest_fixed_capital_real,rosstat,q,,Инвестиции в основной капитал в постоянных ценах,2006-01-01,TRUE,,no,logdiff
invest_fixed_capital_nom,rosstat,q,,Инвестиции в основной капитал в текущих ценах,1993-01-01,TRUE,,no,logdiff
cpi,rosstat,m,"Consumer price index (end of period, percent of end of previous period) ",Индекс потребительских цен (к концу предыдущего месяца),1991-01-01,FALSE,,base,logdiff
li_consumer,rosstat,q,,Индекс потребительской уверенности,2006-01-01,FALSE,,no,diff
ipi,rosstat,m,Industrial production index,Индекс промышленного производства (к предыдущему месяцу),2000-01-01,TRUE,,base,logdiff
ppi_freight,rosstat,m,"Freight producer price index (end of period, percent of end of previous period)",Индекс тарифов на грузовые перевозки (к концу предыдущего месяца),1994-01-01,TRUE,,base,logdiff
services_real,rosstat1,m,,Индекс физического объема бытовых услуг населению в сопоставимых ценах в % к прошлому году (оперативные данные),1999-01-01,TRUE,,base,logdiff
ppi,rosstat,m,"Producer price index of industrial goods (end of period, percent of end of previous period)",Индекс цен производителей промышленных товаров (к концу предыдущего месяца),1998-01-01,TRUE,,base,logdiff
freight_turnover_commercial,rosstat,m,"Commercial freight turnover, bln ton-km",Коммерческий грузооборот транспорта (млрд тонн-км),1995-01-01,TRUE,,no,logdiff
wage_nom,rosstat,m,"Accrued average monthly nominal wages per employee,  rubles",Номинальная зарплата,1993-01-01,TRUE,,no,logdiff
li_electricity_1,rosstat,m,,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха: индекс предпринимательской уверенности",2006-01-01,FALSE,,no,diff
wholesale_real,rosstat1,m,,"Оборот оптовой торговли, индекс физобъема, к предыдущему месяцу",2001-01-01,TRUE,,base,logdiff
wholesale,rosstat1,m,,"Оборот оптовой торговли, млрд руб (в текущих ценах)",2000-01-01,FALSE,,no,logdiff
retail_real,rosstat,m,"Retail trade turnover, percent of previous period (at constant prices)","Оборот розничной торговли, индекс физобъема (1994.1 =100)",1994-01-01,TRUE,,no,logdiff
retail_nom,rosstat,m,"Retail trade turnover, bln rubles","Оборот розничной торговли, млрд рублей  (в текущих ценах)",1999-01-01,TRUE,,no,logdiff
li_manufacturing_1,rosstat,m,,Обрабатывающие производства: индекс предпринимательской уверенности,2006-01-01,FALSE,,no,diff
construction_nom,rosstat,m,"Volume of works in construction activity (at current prices of corresponding years), bln rubles","Объем работ, выполненных по виду деятельности ""Строительство"" (млн руб в текущих ценах)",1999-01-01,TRUE,,no,logdiff
labor_income_nom,rosstat,q,,Оплата труда в текущих ценах,1995-01-01,TRUE,,no,logdiff
services_market,rosstat,m,"Volume of market services (according to short-term reports), bln rubles","Платные услуги населению, в текущих ценах",2006-01-01,TRUE,,no,logdiff
cons_real,rosstat,q,,Потребление домохозяйств в постоянных ценах,1995-01-01,TRUE,,no,logdiff
cons_nom,rosstat,q,,Потребление домохозяйств в текущих ценах,1995-01-01,TRUE,,no,logdiff
wage_real,rosstat,m,Accrued average monthly wages per employee percent of previous period,Реальная начисленная заработная плата работников организаций в % к предыдущему периоду,1993-01-01,TRUE,,no,logdiff
